g.name,gs.name,v.id
H3C8,all_G2M_transition,v_hs64b
H3C10,all_G2M_transition,v_hs64b
RRM1,all_G2M_transition,v_hs64b
H2AC1,all_G2M_transition,v_hs64b
H2BP1,all_G2M_transition,v_hs64b
H2BC10,all_G2M_transition,v_hs64b
H1-7,all_G2M_transition,v_hs64b
H3C11,all_G2M_transition,v_hs64b
H2BC20P,all_G2M_transition,v_hs64b
H2AC20,all_G2M_transition,v_hs64b
H2BC4,all_G2M_transition,v_hs64b
H2AC18,all_G2M_transition,v_hs64b
CDC45,all_G2M_transition,v_hs64b
H2BU2P,all_G2M_transition,v_hs64b
H2AC14,all_G2M_transition,v_hs64b
DHFR,all_G2M_transition,v_hs64b
H2BC8,all_G2M_transition,v_hs64b
H1-8,all_G2M_transition,v_hs64b
H3C14,all_G2M_transition,v_hs64b
H2AZ1,all_G2M_transition,v_hs64b
H2AFB1,all_G2M_transition,v_hs64b
H2AC8,all_G2M_transition,v_hs64b
H2AC21,all_G2M_transition,v_hs64b
H2AJ,all_G2M_transition,v_hs64b
H2AC7,all_G2M_transition,v_hs64b
MCM6,all_G2M_transition,v_hs64b
H2BC5,all_G2M_transition,v_hs64b
H1-3,all_G2M_transition,v_hs64b
H1-1,all_G2M_transition,v_hs64b
H2AZ2P1,all_G2M_transition,v_hs64b
H4C13,all_G2M_transition,v_hs64b
H3P37,all_G2M_transition,v_hs64b
H2BC21P,all_G2M_transition,v_hs64b
H3C2,all_G2M_transition,v_hs64b
H1-10,all_G2M_transition,v_hs64b
H1-4,all_G2M_transition,v_hs64b
H4C9,all_G2M_transition,v_hs64b
BRCA2,all_G2M_transition,v_hs64b
MACROH2A2,all_G2M_transition,v_hs64b
H3C7,all_G2M_transition,v_hs64b
H2AB2,all_G2M_transition,v_hs64b
MCM2,all_G2M_transition,v_hs64b
H3-3A,all_G2M_transition,v_hs64b
H2BC1,all_G2M_transition,v_hs64b
H4C6,all_G2M_transition,v_hs64b
H2BC7,all_G2M_transition,v_hs64b
MKI67,all_G2M_transition,v_hs64b
H2AC19,all_G2M_transition,v_hs64b
H2BW1,all_G2M_transition,v_hs64b
CDC6,all_G2M_transition,v_hs64b
H2AFX,all_G2M_transition,v_hs64b
H2AZ2,all_G2M_transition,v_hs64b
H2BC17,all_G2M_transition,v_hs64b
CDKN2C,all_G2M_transition,v_hs64b
PCNA,all_G2M_transition,v_hs64b
